,Unnamed: 0.1,Unnamed: 0,Trip,total_distance,timestamp,longitude_min,latitude_min,longitude_max,latitude_max,start_lat,end_lat,start_long,end_long,start_altitude,end_altitude,slope,delta_altitude
0,0,0,554,2672.902836039007,118800,-83.7438258333,42.2438011111,-83.7281361111,42.2446325,42.2439327778,42.2446325,-83.7438258333,-83.7281361111,262.258148193,252.498428345,-0.036513803559585285,-9.759719848000003
1,1,1,565,1529.7383643461,75200,-83.7250397222,42.2389716667,-83.7199236111,42.2455263889,42.2389716667,42.2455263889,-83.7201641667,-83.7250397222,251.058532715,249.989593506,-0.006987727410690312,-1.068939209000007
2,2,2,568,11851.94332302158,603600,-83.7798391667,42.2532736111,-83.7289308333,42.2742391667,42.2736155556,42.2542625,-83.7798391667,-83.7289308333,293.614440918,251.869384766,-0.035222337772593426,-41.74505615200002
3,3,3,575,15318.975940290646,1617800,-83.7442552778,42.2547216667,-83.6780208333,42.3176066667,42.2547216667,42.309065,-83.7254875,-83.6780208333,255.895904541,275.748413086,0.012959433641786065,19.852508545000035
4,4,4,588,14204.206936034869,1005800,-83.7209908333,42.2447336111,-83.6817902778,42.29718,42.29718,42.2491316667,-83.6817902778,-83.7209908333,270.882110596,259.64151001,-0.00791357388435147,-11.240600586000028
5,5,5,596,11539.341552367432,716800,-83.7249258333,42.2440177778,-83.6757344444,42.3091602778,42.2464991667,42.3071336111,-83.7248202778,-83.6770194444,250.024246216,269.707489014,0.017057534300188026,19.68324279799998
6,6,6,600,13562.939389897432,1857600,-83.7608344444,42.2523519444,-83.7282283333,42.2643255556,42.2565786111,42.2523519444,-83.7577166667,-83.7282283333,281.364532471,251.456924438,-0.022051031775429265,-29.90760803300003
7,7,7,601,5383.366511758742,60400,-83.7763566667,42.2680036111,-83.7710755556,42.2739155556,42.2680036111,42.2739155556,-83.7710755556,-83.7763566667,286.263885498,285.394378662,-0.001615173043563926,-0.8695068359999709
8,8,8,603,4485.15991795248,313900,-83.7578430556,42.2532580556,-83.7282908333,42.2643394444,42.2639958333,42.2532580556,-83.7578430556,-83.7283138889,281.602325439,252.10168457,-0.06577531137883673,-29.500640869000023
9,9,9,616,3975.535973693127,237300,-83.7442405556,42.2610286111,-83.7299508333,42.2758036111,42.2610286111,42.2758036111,-83.7299508333,-83.7442119444,254.908905029,264.478881836,0.024072237298274995,9.569976807000018
10,10,10,625,5579.936830348148,462700,-83.7496102778,42.2545933333,-83.7258502778,42.2779886111,42.2545933333,42.2779886111,-83.7258502778,-83.7496102778,255.174087524,253.593200684,-0.0028331627247986948,-1.5808868399999767
11,11,11,627,7703.818848692817,131400,-83.7247475,42.2441288889,-83.7028136111,42.2463358333,42.2451419444,42.2463358333,-83.7028136111,-83.7247355556,250.143463135,249.678131104,-0.00060402774388684,-0.46533203100000264
12,12,12,630,11125.901743273222,1433000,-83.7268319444,42.2445783333,-83.6758286111,42.3076027778,42.2498861111,42.3076027778,-83.7258866667,-83.6834969444,250.66796875,270.565582275,0.017884074301914115,19.897613524999997
13,13,13,632,6752.2231673778415,635300,-83.7428336111,42.2872986111,-83.683175,42.3079063889,42.3079063889,42.2872986111,-83.683175,-83.7428336111,269.145843506,238.325820923,-0.04564473489094813,-30.820022582999997
14,14,14,635,5850.324964256663,369400,-83.7246788889,42.2297569444,-83.7133269444,42.2465411111,42.2299369444,42.2465411111,-83.7133269444,-83.7245838889,261.755249023,250.659896851,-0.01896539456183283,-11.095352171999963
15,15,15,636,5331.487902218891,259000,-83.7500569444,42.2525925,-83.7282311111,42.2640977778,42.2640602778,42.2525925,-83.7500569444,-83.7282311111,271.030792236,251.719482422,-0.036221476723774,-19.311309814000026
16,16,16,646,4774.094722701247,112900,-83.7709247222,42.264005,-83.75039,42.2677094444,42.2642358333,42.2677094444,-83.75039,-83.7709247222,271.632751465,287.378204346,0.03298120257698919,15.745452881000006
17,17,17,658,14036.479985754371,718800,-83.7210686111,42.2447758333,-83.6756125,42.3091027778,42.2495275,42.3072116667,-83.7210686111,-83.6770708333,261.607849121,269.931304932,0.005929875070425862,8.323455810999974
18,18,18,659,10510.24516025818,1588700,-83.7465352778,42.2532175,-83.677395,42.3092736111,42.3092736111,42.253435,-83.677395,-83.7284341667,276.396759033,251.929840088,-0.023279176524822438,-24.46691894500003
19,19,19,668,4130.683225945568,244400,-83.7648725,42.2435891667,-83.7291033333,42.2476919444,42.2444583333,42.2443647222,-83.7291033333,-83.7648725,253.398635864,277.475524902,0.05828889976597991,24.07688903800002
20,20,20,669,4910.035761269704,2356800,-83.7616244444,42.2471258333,-83.7473341667,42.2803183333,42.2471258333,42.2803183333,-83.7616244444,-83.7473341667,280.017333984,256.647796631,-0.04759599154056779,-23.369537353
21,21,21,672,10708.069592783171,338800,-83.8018805556,42.2725408333,-83.7769205556,42.2849155556,42.2849105556,42.2740641667,-83.8018805556,-83.7769205556,282.719940186,285.440246582,0.002540426600901544,2.7203063960000122
22,22,22,673,4199.071663273255,406400,-83.801565,42.2651255556,-83.7713086111,42.2852102778,42.2679075,42.2851777778,-83.7713741667,-83.801565,286.024841309,282.77911377,-0.007729633521153097,-3.245727539000029
